icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
4cacb5,2024-12-19 13:04:58,EKCH,2024-12-19 14:42:53,,SAS2898 ,1236,558,0,0,48,0
4cacc8,2024-12-19 15:05:01,ESSA,2024-12-19 15:24:12,EFKG,SAS2728 ,405,278,18501,2847,22,0
4cad5a,2024-12-19 13:43:25,LIML,2024-12-19 14:32:25,,ITY1641 ,132,14,0,0,56,0
4cadb9,2024-12-19 12:46:10,,2024-12-19 15:06:35,LIPE,RYR1VD  ,0,0,3062,6721,0,0
4cadbd,2024-12-19 10:58:24,EICK,2024-12-19 14:32:59,GCXO,RYR47UX ,2926,487,60884,2255,18,0
4cae15,2024-12-19 14:02:22,LIML,2024-12-19 14:48:13,,ITY1671 ,239,44,0,0,57,0
4cae4a,2024-12-19 10:50:00,LFOB,2024-12-19 14:49:44,GCXO,RYR652R ,2911,583,61798,2308,84,0
4cc330,2024-12-19 15:04:33,BIRK,2024-12-19 15:17:32,BIKA,ICE26Y  ,689,358,7971,5132,30,0
4d2139,2024-12-19 08:02:52,OMDW,2024-12-19 16:00:54,VMMC,VJT146  ,594,170,9706,5815,20,1
4d2255,2024-12-19 13:05:57,,2024-12-19 14:53:06,LIMC,RYR32CX ,0,0,1074,11043,0,4
4d2301,2024-12-19 12:49:37,LFOB,2024-12-19 15:03:09,LRSV,RYR252J ,2424,492,22625,4343,85,0
4d2368,2024-12-19 13:43:47,LFRS,2024-12-19 14:45:09,LECN,RYR54LY ,14052,1671,14400,4405,50,2
501c25,2024-12-19 14:25:18,LDZB,2024-12-19 14:44:35,LQVI,CTN344  ,12895,1854,25732,2135,56,18
501c38,2024-12-19 14:08:53,LDZB,2024-12-19 14:28:18,LQLV,CTN8A   ,10704,1549,24919,5860,54,0
501da8,2024-12-19 13:22:11,EDDM,2024-12-19 14:28:40,LD57,CTN39PR ,2066,247,21496,5361,115,1
501dc5,2024-12-19 15:07:57,LDPL,2024-12-19 15:18:10,LDRO,CTN7T   ,6571,1044,59926,2205,43,7
502cd0,2024-12-19 14:42:33,EYVI,2024-12-19 15:17:03,,BTI3FL  ,139,122,0,0,28,0
710103,2024-12-19 12:07:07,,2024-12-19 15:17:41,ZGSD,SVA986  ,0,0,5848,6774,0,0
71c354,2024-12-19 10:51:04,RKSI,2024-12-19 14:37:12,RPVU,TWB189  ,4098,313,27708,5102,56,0
738053,2024-12-19 11:08:06,LIMC,2024-12-19 14:37:19,LLBG,ELY382  ,916,28,1347,10626,69,4
738485,2024-12-19 14:58:57,LLBG,2024-12-19 15:19:52,OJAI,AIZ821  ,1060,156,842,3300,35,1
738488,2024-12-19 14:05:49,LLBG,2024-12-19 14:29:24,OJAI,AIZ813  ,2097,156,846,3323,33,1
750203,2024-12-19 13:30:51,VTBS,2024-12-19 15:11:44,WMKK,MAS781  ,2061,181,13767,3347,14,0
75056c,2024-12-19 09:42:18,YPPH,2024-12-19 14:45:12,WMKM,MXD152  ,1110,32,16702,2511,34,11
75056f,2024-12-19 14:09:12,WSSL,2024-12-19 14:27:56,WMKM,MXD806  ,9609,2122,20800,2778,1,0
758087,2024-12-19 14:13:34,RPLL,2024-12-19 14:44:38,,GAP2121 ,2478,175,0,0,25,0
758532,2024-12-19 14:00:24,RPLL,2024-12-19 14:27:57,,CEB579  ,491,182,0,0,26,0
75853a,2024-12-19 14:22:32,RPLL,2024-12-19 14:51:59,,APG607  ,2175,121,0,0,25,0
75860f,2024-12-19 13:59:20,RPLL,2024-12-19 14:28:04,,CEB461  ,2882,198,0,0,25,0
76aa6b,2024-12-19 12:38:21,WSSS,2024-12-19 14:30:11,,JSA239  ,1167,252,0,0,19,0
7c19d2,2024-12-19 15:07:07,YTWB,2024-12-19 15:31:23,YMYB,FD447   ,170163,2473,19505,2594,1,4
7c6b2b,2024-12-19 05:36:40,YBBN,2024-12-19 14:41:25,YPPH,JST932  ,1328,72,982,35,45,34
800d18,2024-12-19 13:58:05,VOMM,2024-12-19 14:41:17,VOSX,SEJ2703 ,536,189,20059,6057,5,0
8013bd,2024-12-19 12:15:07,VEBI,2024-12-19 14:35:44,,AXB1954 ,76818,1620,0,0,2,0
80140b,2024-12-19 12:24:56,VIDP,2024-12-19 14:41:55,,IGO272E ,2150,250,0,0,15,0
80140c,2024-12-19 14:08:08,VOBL,2024-12-19 14:28:50,VOCB,IGO144  ,14186,1440,12025,5677,5,1
801442,2024-12-19 14:03:04,VOBL,2024-12-19 14:25:29,,IGO309  ,8355,571,0,0,10,0
80146d,2024-12-19 14:00:30,VOMM,2024-12-19 14:41:13,VOTR,IGO7592 ,770,205,9027,7478,5,0
80149b,2024-12-19 12:58:25,VIDP,2024-12-19 14:39:16,VEBA,IGO2057 ,1475,167,14281,598,15,11
80149d,2024-12-19 13:50:18,VOBL,2024-12-19 14:33:02,,IGO907L ,22614,1363,0,0,6,0
8014bb,2024-12-19 14:26:14,,2024-12-19 14:44:47,,IGO6303 ,0,0,0,0,0,0
